Year,Production,Supply,Yield,Price,Rolling Std Dev,Harvested Acreage
1871-01-01,22.23,271.881,12.2,1.25,,4.502577172131148
1872-01-01,22.962,271.482,11.8,1.24,,4.80849577118644
1873-01-01,24.866,321.931,12.9,1.17,,4.7631883178294565
1874-01-01,27.31,356.115,13.0,0.948,,5.191105807692307
1875-01-01,28.382,313.728,11.1,1.01,,6.318319018018019
1876-01-01,28.283,309.116,10.9,1.04,,6.411807995412844
1877-01-01,27.963,395.51,14.1,1.09,,4.900565329787234
1878-01-01,33.379,449.175,13.5,0.772,,6.109716885185184
1879-01-01,35.347,459.234,13.0,1.11,,6.718784950000001
1880-01-01,38.096,502.257,13.2,0.952,,7.131600060606059
1881-01-01,36.795,405.886,11.0,1.2,,8.26566225
1882-01-01,36.496,552.207,15.1,0.888,0.14863856916165546,5.972413298013246
1883-01-01,35.587,438.762,12.3,0.914,0.14014137883082947,7.1493704349593505
1884-01-01,38.485,571.292,14.8,0.645,0.16183050897888085,6.4255648141891895
1885-01-01,35.095,399.931,11.4,0.772,0.1597301464876612,7.6071491008771925
1886-01-01,36.312,513.54,14.1,0.687,0.17621594878461092,6.363742382978723
1887-01-01,36.873,490.761,13.3,0.682,0.1866786251580751,6.850753883458645
1888-01-01,34.969,423.867,12.1,0.927,0.18153359735789126,7.1413345
1889-01-01,36.098,504.37,14.0,0.698,0.17680984049811743,6.371425921428571
1890-01-01,36.686,449.042,12.2,0.837,0.1750591242114989,7.430568877049181
1891-01-01,41.09,677.543,16.5,0.831,0.15625879369194118,6.153663303030304
1892-01-01,42.979,611.854,14.2,0.624,0.16269387036562097,7.479102672535212
1893-01-01,40.79,505.795,12.4,0.534,0.12671020982039022,8.128558830645161
1894-01-01,40.167,541.873,13.5,0.489,0.13980961080243132,7.352197433333333
1895-01-01,38.998,542.119,13.9,0.505,0.13805891913062046,6.932806323741007
1896-01-01,40.828,522.963,12.8,0.721,0.13775414529318017,7.881877296875
1897-01-01,43.413,606.202,14.0,0.809,0.14009563832892133,7.662549546428571
1898-01-01,50.506,768.148,15.2,0.579,0.1440917216304403,8.21071390131579
1899-01-01,52.342,655.143,12.5,0.588,0.1468768810324424,10.347175928
1900-01-01,49.203,599.315,12.2,0.621,0.12470036815575913,9.965825668032787
1901-01-01,50.847,762.546,15.0,0.631,0.12400033602105029,8.37636529
1902-01-01,46.244,686.959,14.9,0.63,0.10868121300669271,7.669210483221476
1903-01-01,48.456,663.115,13.7,0.693,0.0914303841811638,8.739941518248175
1904-01-01,43.155,555.571,12.9,0.926,0.12748606578641064,8.266524244186046
1905-01-01,46.306,706.026,15.2,0.747,0.12561807797905347,7.527923769736842
1906-01-01,46.23,740.509,16.0,0.66,0.11336171658844457,7.139790093749999
1907-01-01,44.139,628.764,14.2,0.866,0.11179482695247295,7.680963095070424
1908-01-01,45.102,642.818,14.3,0.967,0.13496562413062718,7.793657139860138
1909-01-01,44.262,683.927,15.5,0.986,0.15324539639138118,7.056362264516129
1910-01-01,45.793,625.476,13.7,0.906,0.15084215611229537,8.259619901459855
1911-01-01,49.894,618.166,12.4,0.865,0.14163685960935457,9.942787798387096
1912-01-01,48.413,730.011,15.1,0.798,0.1310906175132302,7.922579049668874
1913-01-01,52.012,751.101,14.4,0.789,0.1192921991912246,8.925295319444444
1914-01-01,55.613,897.487,16.1,0.971,0.11034889572568818,8.535559232919255
1915-01-01,60.303,1008.637,16.7,0.956,0.1026504439170316,8.922857973053892
1916-01-01,53.51,634.572,11.9,1.43,0.1919886952164348,11.111418949579832
1917-01-01,46.787,619.79,13.2,2.04,0.37074139479990875,8.758561844696969
1918-01-01,61.068,904.13,14.8,2.05,0.4556336912543458,10.19608658108108
1919-01-01,73.7,952.097,12.9,2.16,0.5327021738838748,14.117549224806202
1920-01-01,62.358,843.277,13.5,1.82,0.5491582194595651,11.41405451111111
1921-01-01,64.566,818.964,12.7,1.03,0.5469095750975047,12.562662543307086
1922-01-01,61.397,846.649,13.8,0.961,0.5433626781441654,10.993844699275362
1923-01-01,56.92,759.482,13.3,0.923,0.539164898596698,10.575350827067668
1924-01-01,52.463,841.617,16.0,1.24,0.5142372698443487,8.102418509375
1925-01-01,52.443,668.7,12.8,1.43,0.4812971976068864,10.124162121093748
1926-01-01,56.616,832.213,14.7,1.21,0.4658336612998247,9.51707257142857
1927-01-01,59.628,875.059,14.7,1.18,0.448967873589137,10.023385673469388
1928-01-01,59.226,914.373,15.4,0.988,0.4689939587386315,9.5032732012987
1929-01-01,63.392,824.183,13.0,1.03,0.43702024778000487,12.049600123076925
1930-01-01,62.637,886.522,14.2,0.663,0.4135611328522793,10.899940764084509
1931-01-01,57.704,941.54,16.3,0.382,0.3611953534215707,8.747820196319019
1932-01-01,57.851,756.307,13.1,0.375,0.32831525869339256,10.91242088167939
1933-01-01,49.424,552.215,11.2,0.736,0.3328227756629648,10.904390642857143
1934-01-01,43.347,526.052,12.1,0.839,0.3335356961496937,8.85228135123967
1935-01-01,51.305,628.227,12.2,0.827,0.33451113130910487,10.391575430327869
1936-01-01,49.125,629.88,12.8,1.02,0.3204128019233375,9.48361962890625
1937-01-01,64.169,873.914,13.6,0.959,0.27369230400712324,11.659177018382351
1938-01-01,69.197,919.913,13.3,0.556,0.2604465134411223,12.85633434962406
1939-01-01,52.669,741.21,14.1,0.686,0.23173474582859344,9.230335634751773
1940-01-01,53.273,814.646,15.3,0.674,0.220499209783509,8.603937689542484
1941-01-01,55.935,941.97,16.8,0.939,0.21054316479625892,8.227272723214286
1942-01-01,49.773,969.381,19.5,1.09,0.23450739795786843,6.307260084615384
1943-01-01,51.355,843.813,16.4,1.35,0.2590245542356361,7.737851996951219
1944-01-01,59.749,1060.111,17.7,1.41,0.26327304641701776,8.341399234463278
1945-01-01,65.167,1107.623,17.0,1.49,0.301560587409542,9.472406785294117
1946-01-01,67.105,1152.118,17.2,1.9,0.3953006814917966,9.640686642441862
1947-01-01,74.519,1358.911,18.2,2.29,0.5183015970017316,10.117592030219782
1948-01-01,72.418,1294.911,17.9,1.98,0.5608404407672469,9.997122843575422
1949-01-01,75.91,1098.415,14.5,1.88,0.5761754980433083,12.936372793103448
1950-01-01,61.6,1019.0,16.5,2.0,0.5443288542004283,9.225253333333333
1951-01-01,61.9,988.0,16.0,2.11,0.5111098663247902,9.559874687499999
